epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,18.0789,0.68456,0.61739,0.86335,0.96987,0.91646,0.97625,0.82166,0.7128,0.47563,0.81277,0.000198135,0.000198135,0.000198135
37,18.5496,0.62961,0.55519,0.86588,0.96987,0.91646,0.97625,0.82166,0.7128,0.47563,0.81277,0.000190577,0.000190577,0.000190577
38,19.0825,0.59128,0.55663,0.85066,0.96807,0.92244,0.98071,0.8192,0.70774,0.44953,0.80745,0.0001823,0.0001823,0.0001823
39,19.5059,0.60568,0.53722,0.86442,0.97474,0.92619,0.98564,0.81663,0.69125,0.4572,0.8086,0.000173303,0.000173303,0.000173303
40,19.9616,0.66057,0.55423,0.86658,0.97474,0.92619,0.98564,0.81663,0.69125,0.4572,0.8086,0.000163585,0.000163585,0.000163585
41,22.0192,0.5924,0.59186,0.83996,0.98093,0.92534,0.98667,0.79626,0.72268,0.46327,0.82332,0.000153148,0.000153148,0.000153148
42,22.6165,0.6478,0.59887,0.88109,0.96536,0.98975,0.995,0.81895,0.70709,0.46984,0.81937,0.000141991,0.000141991,0.000141991
43,23.0637,0.67028,0.64794,0.83659,0.96536,0.98975,0.995,0.81895,0.70709,0.46984,0.81937,0.000130114,0.000130114,0.000130114
44,23.506,0.55336,0.54926,0.83241,0.96556,0.99169,0.995,0.81649,0.68439,0.46198,0.81066,0.000117517,0.000117517,0.000117517
45,24.0973,0.57948,0.55101,0.83136,0.96556,0.99169,0.995,0.81649,0.68439,0.46198,0.81066,0.0001042,0.0001042,0.0001042
46,24.5601,0.57478,0.58804,0.84595,0.96574,0.99328,0.995,0.83088,0.65997,0.45878,0.80442,9.01637e-05,9.01637e-05,9.01637e-05
47,25.0971,0.57538,0.57072,0.83103,0.96574,0.99328,0.995,0.83088,0.65997,0.45878,0.80442,7.5407e-05,7.5407e-05,7.5407e-05
48,25.588,0.55504,0.55442,0.84395,0.96391,0.99516,0.995,0.81672,0.64929,0.44965,0.80288,5.99304e-05,5.99304e-05,5.99304e-05
49,26.0654,0.5522,0.54673,0.8196,0.96391,0.99516,0.995,0.81672,0.64929,0.44965,0.80288,4.37338e-05,4.37338e-05,4.37338e-05
